MNL,,THD
BKK,,CDG
REP,,MEL
TBB,,REP
VII,,SGN
DAD,,TPE
SYD,,HKG
VKG,,BKK
AMS,,HKG
MEL,,FRA
TPE,,FUK
CAN,,PNH
SGN,,PQC
TPE,,SIN
LAX,,SGN
KHH,,VTE
TPE,,DME
CGK,,PQC
VCL,,HAN
MEL,,KIX
HUI,,PNH
CXR,,KHH
PQC,,ICN
KIX,,DLI
UIH,,TPE
PQC,,KUL
SGN,,CTU
HPH,,REP
KUL,,ICN
REP,,CDG
SGN,,RGN
SIN,,DLI
BKK,,VDH
RGN,,LHR
HKG,,CXR
FRA,,ICN
HNL,,HAN
TPE,,BKK
LPQ,,REP
HAN,,SIN
RGN,,PUS
MNL,,CXR
PNH,,DIN
KUL,,PNH
PNH,,FUK
CXR,,CGK
SGN,,CAN
CTU,,CXR
HAN,,UIH
VCA,,CAN
FUK,,CXR
CXR,,ICN
LHR,,CTU
NGO,,MEL
CDG,,CAN
PUS,,LHR
VCS,,NGO
VTE,,MEL
MNL,,UIH
PNH,,VII
VDH,,CTU
DME,,CTU
HKG,,SIN
NRT,,CXR
DIN,,KUL
HUI,,SYD
HAN,,CXR
VTE,,HUI
CTU,,UIH
PEK,,DLI
CXR,,VTE
VCA,,RGN
FRA,,CGK
PQC,,CGK
SGN,,TBB
TPE,,LHR
CDG,,RGN
PQC,,VTE
HAN,,HKG
NGO,,HUI
ICN,,SGN
LHR,,NRT
TPE,,SGN
CXR,,HAN
PUS,,PQC
MEL,,PVG
DLI,,REP
DLI,,SGN
HAN,,LPQ
CGK,,FRA
AMS,,MEL
ICN,,REP
FRA,,VTE
ZRH,,HAN
AMS,,KHH
KIX,,KUL
SGN,,TLS
HPH,,SIN
FUK,,LPQ
FRA,,HAN
MEL,,ICN
PUS,,SGN
KUL,,KIX
SGN,,DAD
VII,,BKK
SYD,,HUI
KHH,,CXR
KIX,,REP
TPE,,PQC
MIA,,HAN
VII,,RGN
FUK,,SIN
CGK,,HAN
SGN,,NGO
MNL,,DAD
CXR,,CDG
VTE,,KIX
CXR,,TPE
PXU,,SGN
ICN,,PQC
BKK,,DLI
ICN,,SYD
AMS,,KIX
SGN,,PXU
CAN,,NRT
PNH,,VCA
SGN,,DME
SIN,,HPH
VCL,,PNH
CTU,,DAD
MEL,,TPE
DME,,PNH
HAN,,TBB
CXR,,MNL
SGN,,LHR
ICN,,BKK
KHH,,UIH
